method,subject,budget_k,snr_order,snr_label,snr_db,balanced_accuracy,n_observations,n_directions,n_model_seeds,n_channel_realizations
FBCSP + PCA,3,32,4,10_dB,10.0,0.7677432307013223,120,2,3,20
FBCSP + PCA,3,32,5,15_dB,15.0,0.7767669755821429,120,2,3,20
FBCSP + PCA,3,32,6,20_dB,20.0,0.7800417731002102,120,2,3,20
FBCSP + PCA,3,32,7,noise_free,,0.7815768170088321,120,2,3,20
FBCSP + PCA,3,64,0,-10_dB,-10.0,0.477368314826373,120,2,3,20
FBCSP + PCA,3,64,1,-5_dB,-5.0,0.606885093353606,120,2,3,20
FBCSP + PCA,3,64,2,0_dB,0.0,0.7064202126291297,120,2,3,20
FBCSP + PCA,3,64,3,5_dB,5.0,0.7478799018402909,120,2,3,20
FBCSP + PCA,3,64,4,10_dB,10.0,0.7643535496784796,120,2,3,20
FBCSP + PCA,3,64,5,15_dB,15.0,0.7696925432341344,120,2,3,20
FBCSP + PCA,3,64,6,20_dB,20.0,0.77301297344543,120,2,3,20
FBCSP + PCA,3,64,7,noise_free,,0.7778880409458339,120,2,3,20
FBCSP + PCA,4,16,0,-10_dB,-10.0,0.3345756448568188,120,2,3,20
FBCSP + PCA,4,16,1,-5_dB,-5.0,0.393197480580101,120,2,3,20
FBCSP + PCA,4,16,2,0_dB,0.0,0.4515808025619495,120,2,3,20
FBCSP + PCA,4,16,3,5_dB,5.0,0.4874438964727464,120,2,3,20
FBCSP + PCA,4,16,4,10_dB,10.0,0.5101150355200852,120,2,3,20
FBCSP + PCA,4,16,5,15_dB,15.0,0.5171541440030704,120,2,3,20
FBCSP + PCA,4,16,6,20_dB,20.0,0.5141470406240853,120,2,3,20
FBCSP + PCA,4,16,7,noise_free,,0.5150366714230631,120,2,3,20
FBCSP + PCA,4,32,0,-10_dB,-10.0,0.3392536659815162,120,2,3,20
FBCSP + PCA,4,32,1,-5_dB,-5.0,0.401416481283874,120,2,3,20
FBCSP + PCA,4,32,2,0_dB,0.0,0.4598442702761886,120,2,3,20
FBCSP + PCA,4,32,3,5_dB,5.0,0.4908875636127968,120,2,3,20
FBCSP + PCA,4,32,4,10_dB,10.0,0.5019057603591207,120,2,3,20
FBCSP + PCA,4,32,5,15_dB,15.0,0.5076200140032218,120,2,3,20
FBCSP + PCA,4,32,6,20_dB,20.0,0.5106408763932184,120,2,3,20
FBCSP + PCA,4,32,7,noise_free,,0.5097441036624203,120,2,3,20
FBCSP + PCA,4,64,0,-10_dB,-10.0,0.3540311454897797,120,2,3,20
FBCSP + PCA,4,64,1,-5_dB,-5.0,0.4125190398803804,120,2,3,20
FBCSP + PCA,4,64,2,0_dB,0.0,0.4711231619498269,120,2,3,20
